,ISO_country,country_name,Year,WB_income_region,sample_size,severe_wasting,wasting,overweight,stunting,underweight,notes,author,source,under_5_pop
19,ARM,ARMENIA,1998,Lower middle income,3241.0,1.0,3.3,10.8,15.1,2.7,,,"The health and nutritional status of children an women in Armenia. National Institute of Nutrition - Italy, 1998 (and additional analysis).",221.634
20,ARM,ARMENIA,2000,Lower middle income,1486.0,0.7,2.5,16.0,17.7,2.6,,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2000. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2001 (and additional analysis).",197.176
21,ARM,ARMENIA,2005,Lower middle income,1377.0,2.6,5.5,11.7,18.2,4.2,,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro.","Armenia demographic and health survey 2005. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2006 (and additional analysis).",198.845
22,ARM,ARMENIA,2010,Lower middle income,1401.0,2.0,4.2,16.8,20.8,5.3,,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ICF International.","Armenia demographic and health survey 2010. Demographic and Health Surveys. Calverton, Maryland: National Statistical Service, Ministry of Health, and ICF International, 2012 (and additional analysis).",215.886
23,AUS,AUSTRALIA,1995,High income: OECD,1036810.0,,0.0,7.9,0.0,0.0,Age-adjusted; converted estimates,,"National nutrition survey Australia 1995. Canberra: Australian Bureau of Statistics and Commonwealth Department of Health and Family Services, 1997 (and additional analysis).",1304.735
24,AUS,AUSTRALIA,2007,High income: OECD,1007.0,0.0,0.0,7.7,2.0,0.2,Age-adjusted,Commonwealth Department of Health and Ageing (DoHA).,"The 2007 national children's nutrition and physical activity survey. Canberra, Australia: DoHA, 2010 (and additional analysis).",1331.306
25,AZE,AZERBAIJAN,1996,Upper middle income,500.0,,3.8,6.1,28.0,8.8,Converted estimates,"Branca F, Burkholder B, Hamel M, Parvanta I, Robertson A.","Health and nutrition survey of internally displaced and resident population of Azerbaijan - April 1996. Baku, Azerbaijan, 1996 (and additional analysis).",859.811
26,AZE,AZERBAIJAN,2000,Upper middle income,1789.0,4.1,9.0,6.2,24.1,14.0,,,"Azerbaijan multiple indicator cluster survey 2000 (MICS). Baku, Azerbaijan: United Nations Children's Fund, 2001 (and additional analysis).",698.882
27,AZE,AZERBAIJAN,2001,Upper middle income,2426.0,,3.2,4.4,18.0,5.9,Converted estimates,"Adventist Development and Relief Agency, Azerbaijan Ministry of Health, State Committee of Statistics, Mercy Corps [Baku, Azerbaijan], DRH/CDC, USAID,","UNFPA, UNHCR. Reproductive health survey Azerbaijan, 2001: Final report. Serbanescu F, Morris L, Rahimova S, Stupp P, eds. Atlanta, GA: US Department of Health and Human Services, CDC, 2003 (and additional analysis).",658.974
28,AZE,AZERBAIJAN,2006,Upper middle income,2127.0,2.2,6.8,13.9,26.8,8.4,,State Statistical Committee (SSC) [Azerbaijan] and Macro International Inc.,"Azerbaijan demographic and health survey 2006. Demographic and Health Surveys. Calverton, Maryland, USA: State Statistical Committee and Macro International Inc., 2008 (and additional analysis).",622.53
29,AZE,AZERBAIJAN,2013,Upper middle income,1569.0,1.1,3.1,13.0,18.0,4.9,,"Ministry of Health, State Statistical Committee and UNICEF [Azerbaijan].","Azerbaijan nutrition survey  (AzNS), 2013. Baku, Republic of Azerbaijan, 2014.",856.156
30,BHR,BAHRAIN,1989,High income: nonOECD,2033.0,,6.8,7.5,13.9,6.3,Converted estimates,Ministry of Health.,"Bahrain child health survey 1989. Manama, Bahrain, 1992.",65.457
31,BHR,BAHRAIN,1995,High income: nonOECD,673.0,,6.6,,13.6,7.6,Converted estimates (Bahraini),Naseeb T and Farid SM.,"Bahrain family health survey 1995: principal report. Manama, Bahrain: Ministry of Health, 2000.",61.31
32,BGD,BANGLADESH,1986,Lower middle income,2675.0,,17.3,0.2,70.9,66.8,Converted estimates,Government of the People's Republic of Bangladesh.,"Report of the child nutrition status module, Bangladesh household expenditure survey 1985-86. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1987 (and additional analysis).",15887.619
33,BGD,BANGLADESH,1990,Lower middle income,1914.0,,17.5,0.6,63.4,61.5,Converted estimates,Government of the People's Republic of Bangladesh.,"Report of the child nutrition status survey 1989-90. Bangladesh bureau of statistics. Dhaka, Bangladesh, 1991 (and additional analysis).",16429.977
34,BGD,BANGLADESH,1991,Lower middle income,32493.0,2.6,15.2,0.3,73.6,61.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1991: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16543.29
35,BGD,BANGLADESH,1992,Lower middle income,36997.0,3.0,16.1,0.2,71.5,60.6, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1992: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16581.944
36,BGD,BANGLADESH,1993,Lower middle income,42826.0,2.5,14.0,0.4,69.2,56.1, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1993: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16573.33
37,BGD,BANGLADESH,1994,Lower middle income,63753.0,3.2,16.7,0.2,67.3,58.0, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1994: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16560.582
38,BGD,BANGLADESH,1995,Lower middle income,87051.0,2.7,15.1,0.2,65.8,55.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1995: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16578.406
39,BGD,BANGLADESH,1996,Lower middle income,81067.0,2.8,15.5,0.3,63.8,54.0, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1996: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16610.537
40,BGD,BANGLADESH,1997,Lower middle income,4781.0,6.6,20.6,1.7,59.7,52.5,,,"Bangladesh demographic and health survey 1996-97. Demographic and Health Surveys. National Institute for Population Research and Training. Dhaka, Bangladesh, 1997 (and additional analysis).",16654.049
41,BGD,BANGLADESH,1998,Lower middle income,49496.0,2.3,15.0,0.2,59.3,50.7, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1998: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16705.122
42,BGD,BANGLADESH,1999,Lower middle income,49374.0,2.0,13.7,0.6,59.9,49.5, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 1999: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16749.009
43,BGD,BANGLADESH,2000,Lower middle income,6010.0,2.5,12.5,0.9,50.8,42.3,,"National Institute of Population Research and Training, Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 1999-2000 (DHS). Dhaka, Bangladesh and Calverton, Maryland: National Institute of Population Research and Training, Mitra and Associates, and ORC Macro, 2001 (and additional analysis).",16778.76
44,BGD,BANGLADESH,2001,Lower middle income,63444.0,2.3,12.7,0.9,53.2,43.2, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2001: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16877.025
45,BGD,BANGLADESH,2002,Lower middle income,53315.0,2.1,12.4,1.0,51.4,41.0, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2002: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16909.425
46,BGD,BANGLADESH,2003,Lower middle income,86999.0,2.1,12.5,1.0,47.8,38.9, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2003: data on rural national (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008.",16882.501
47,BGD,BANGLADESH,2004,Lower middle income,6147.0,3.5,14.6,0.9,50.5,42.7,,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ORC Macro.","Bangladesh demographic and health survey 2004. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland [USA]: NIPORT, Mitra and Associates, and ORC Macro, 2005 (and additional analysis).",16803.203
48,BGD,BANGLADESH,2005,Lower middle income,74758.0,1.9,11.8,1.0,45.9,37.3, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) and Institute of Public Health Nutrition.,"Nutritional Surveillance Project 2005: Rural data (using the WHO Child Growth Standards). Unpublished estimates. Dhakar, Bangladesh: HKI and Institute of Public Health Nutrition, 2007.",16682.334
49,BGD,BANGLADESH,2006,Lower middle income,24302.0,1.6,11.9,0.8,45.1,37.9, Adjusted NR to NA; nutritional surveillance,Helen Keller International (HKI) Bangladesh.,"Nutritional Surveillance Project 2006: data on rural national data (using the WHO Child Growth Standards). Unpublished estimates. Dhaka, Bangladesh: HKI and Institute of Public Health Nutrition, 2008 (and additional analysis).",16606.181
50,BGD,BANGLADESH,2007,Lower middle income,5495.0,2.9,17.5,1.1,43.2,41.3,,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and Macro International.","Bangladesh demographic and health survey 2007. DHS. Dhaka, Bangladesh and Calverton, Maryland, USA: National Institute of Population Research and Training, Mitra and Associates, and Macro International, 2009 (and additional analysis).",16428.588
51,BGD,BANGLADESH,2011,Lower middle income,8070.0,4.1,15.7,1.9,41.4,36.8,,"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International.","Bangladesh demographic and health survey 2011. Demographic and Health Surveys. Dhaka, Bangladesh and Calverton, Maryland, USA: NIPORT, Mitra and Associates, and ICF International, 2013 (and additional analysis).",15566.236
52,BGD,BANGLADESH,2012,Lower middle income,,1.6,9.6,1.6,42.0,31.9,(pending reanalysis),Bangladesh Bureau of Statistics and UNICEF Bangladesh.,"Bangladesh multiple indicator cluster survey. Key findings Report. Dhaka, Bangladesh: Bangladesh Bureau of Statistics and UNICEF Bangladesh, 2014.",15448.776
53,BGD,BANGLADESH,2013,Lower middle income,4029.0,4.9,18.1,2.6,38.7,35.1,,"Shahin S, Bhadra SK and Ahsanul Alam M.","Utilization of Essential Service Delivery (UESD) Survey 2013. Dhaka: National Institute of Population Research and Training (NIPORT), 2014.",15401.663
54,BGD,BANGLADESH,2014,Lower middle income,7318.0,3.1,14.3,1.4,36.1,32.6,(pending reanalysis),"National Institute of Population Research and Training (NIPORT), Mitra and Associates, and ICF International.","Bangladesh demographic and health survey 2014: Key indicators. Demographic and Health Surveys. Dhaka, Bangladesh, and Rockville, Maryland, USA: NIPORT, Mitra and Associates and ICF International, 2015 (pending reanalysis).",15373.762
55,BRB,BARBADOS,2012,High income: nonOECD,403.0,2.0,6.8,12.2,7.7,3.5,,Barbados Statistical Service (BSS).,"Barbados multiple indicator cluster survey 2012: Final report (MICS4). Bridgetown, Barbados: BSS, 2014.",17.316
56,BLR,BELARUS,2005,Upper middle income,3031.0,0.6,2.2,9.7,4.5,1.3,,Ministry of Statistics and Analysis (MSA) of the Republic of Belarus and Research Institute of Statistics of the MSA of the Republic of Belarus.,"Belarus multiple indicator cluster survey 2005, final report. Minsk, Republic of Belarus: Ministry of Statistics and Analysis [Belarus] and Research Institute of Statistics of the MSA [Belarus], 2007 (and additional analysis).",449.37
57,BLZ,BELIZE,1992,Upper middle income,8516.0,,,,,5.4,Converted estimate,Ministry of Health.,"Assessment of the food, nutrition and health situation of Belize. INCAP Publication DC1/002. Kingston: Institute of Nutrition of Central America and Panama, 1992 (and additional analysis).",30.406
58,BLZ,BELIZE,2006,Upper middle income,722.0,0.9,1.9,13.7,22.2,4.9,,Statistical Institute of Belize (SIB) and UNICEF.,"Multiple indicator cluster survey Belize, 2006. UNICEF, www.childinfo.org/mics3_surveys.html, accessed 7 January 2009 (and additional analysis).",37.926
59,BLZ,BELIZE,2011,Upper middle income,1809.0,1.2,3.3,7.9,19.3,6.2,,Statistical Institute of Belize (SIB) and UNICEF.,"Belize multiple indicator cluster survey 2011 (MICS). Belize city, Belize: SIB and UNICEF, 2012 (and additional analysis).",37.531
60,BEN,BENIN,1996,Low income,2601.0,4.6,12.3,2.4,39.1,26.2,Age-adjusted;,"Kodjogbé N, Mboup G, Tossou J, de Souza L, Gandaho T, Guédémé A et al.","Enquête démographique et de santé 1996. Demographic and Health Surveys. Ministère du Plan, de la Restructuration Economique et de la Promotion de l'Emploi. Cotonou, Benin, 1997 (and additional analysis).",1127.008
61,BEN,BENIN,2001,Low income,4947.0,3.1,9.0,3.0,39.1,21.5,,Institut National de la Statistique et de l'Analyse Economique (INSAE) et ORC Macro.,"Enquête démographique et de santé au Bénin 2001. Demographic and Health Surveys. Calverton, Maryland, USA: Institut National de la Statistique et de l'Analyse Economique et ORC Macro, 2002 (and additional analysis).",1278.839
62,BEN,BENIN,2006,Low income,14628.0,3.1,8.4,11.4,44.7,20.2,,Institut National de la Statistique et de l'Analyse Économique (INSAE) [Bénin] et Macro International Inc.,"Enquête démographique et de santé (EDSB-III) - Bénin 2006. Demographic and Health Surveys. Calverton, Maryland, USA : Institut National de la Statistique et de l'Analyse Économique et Macro International Inc., 2007 (and additional analysis).",1455.976
63,BEN,BENIN,2014,Low income,,0.9,4.5,1.7,34.0,18.0,,Institut National de la Statistique et de l'Analyse Economique (INSAE).,"Enquête par grappes a indicateurs multiples (MICS) 2014, Résultats clés. Cotonou, Benin: INSAE, 2015.",1681.018
64,BTN,BHUTAN,1987,Lower middle income,3273.0,,5.2,3.5,60.9,34.0,Converted estimates,,Bhutan Directorate of Health Services. Report on the national nutrition survey. Bhutan; December 1989.,85.559
65,BTN,BHUTAN,1999,Lower middle income,2996.0,0.8,2.5,3.9,47.7,14.1,,Ministry of Health and Education.,"National anthropometric survey of under five children in Bhutan. Division of Health Services. Thimpu, Bhutan, 1999 (and additional analysis).",75.1
66,BTN,BHUTAN,2008,Lower middle income,2162.0,1.4,4.7,4.4,34.9,10.4,,"Zangmo U, de Onis M, Dorji T.",The nutritional status of children in Bhutan: results from the national nutrition survey of 2008 and trends over time. BMC Pediatrics 2012;12:151.,72.15
67,BTN,BHUTAN,2010,Lower middle income,6138.0,2.0,5.9,7.6,33.6,12.8,,National Statistics Bureau (NSB).,"Bhutan multiple indicator cluster survey (BMIS) 2010. Thimphu, Bhutan: NSB, May 2011 (and additional analysis).",71.967
68,BOL,BOLIVIA (PLURINATIONAL STATE OF),1988,Lower middle income,151481.0,,,,,9.8,SVEN; converted estimate,Ministerio de Planeamiento y Coordinacion.,"Situacion alimentaria y nutricional de Bolivia 1992. La Paz: Instituto Nacional de Alimentacion y Nutricion, 1992 (and additional analysis).",1027.01
69,BOL,BOLIVIA (PLURINATIONAL STATE OF),1989,Lower middle income,2563.0,0.5,1.5,7.4,44.0,7.8,Age-adjusted;,Ministerio de Planeamiento y Coordinacion.,"Encuesta nacional de demografia y salud 1989. Demographic and Health Surveys. La Paz, Bolivia, 1990 (and additional analysis).",1035.328
70,BOL,BOLIVIA (PLURINATIONAL STATE OF),1990,Lower middle income,490699.0,,,,,9.7,SVEN; converted estimate,Ministerio de Planeamiento y Coordinacion.,"Situacion alimentaria y nutricional de Bolivia 1992. La Paz: Instituto Nacional de Alimentacion y Nutricion, 1992 (and additional analysis).",1045.256
71,BOL,BOLIVIA (PLURINATIONAL STATE OF),1991,Lower middle income,536952.0,,,,,10.2,SVEN; converted estimate,Ministerio de Planeamiento y Coordinacion.,"Situacion alimentaria y nutricional de Bolivia 1992. La Paz: Instituto Nacional de Alimentacion y Nutricion, 1992 (and additional analysis).",1057.089
72,BOL,BOLIVIA (PLURINATIONAL STATE OF),1992,Lower middle income,666872.0,,,,,10.5,SVEN; converted estimate,Ministerio de Desarrollo Humano.,"Bolivia: mapa de la desnutricion 1990-1992. La Paz, Bolivia, 1994 (and additional analysis).",1068.007
73,BOL,BOLIVIA (PLURINATIONAL STATE OF),1994,Lower middle income,2730.0,1.2,3.6,6.7,37.1,11.0,Age-adjusted;,Ministerio de Desarrollo Sostenible y Medio Ambiente.,"Encuesta nacional de demografia y salud 1994. Demographic and Health Surveys. La Paz, Bolivia, 1994 (and additional analysis).",1089.666
74,BOL,BOLIVIA (PLURINATIONAL STATE OF),1998,Lower middle income,6005.0,0.7,1.6,10.7,33.1,5.9,,Ministerio de Haciendo and Instituto Nacional de Estadistica.,"Encuesta nacional de demografia y salud 1998. Demographic and Health Surveys. La Paz, Bolivia, 1998 (and additional analysis).",1141.988
75,BOL,BOLIVIA (PLURINATIONAL STATE OF),2003,Lower middle income,9982.0,0.6,1.7,9.2,32.5,5.9,,"Gutiérrez Sardan M, Hernando Ochoa L, Castillo Guerra W.","Encuesta nacional de demografia y salud (ENDSA) 2003. Demographic and Health Surveys. La Paz, Bolivia: Instituto Nacional de Estadistica, Ministerio de Salud y Deportes, Programa Measure DHS+/ORC Macro, 2004 (and additional analysis).",1180.769
76,BOL,BOLIVIA (PLURINATIONAL STATE OF),2008,Lower middle income,8527.0,0.5,1.4,8.7,27.2,4.5,,"Ministerio de Salud y Deportes (MSD), Programa Reforma de Salud (PRS), Instituto Nacional de Estadística (INE) y Macro International.","Encuesta nacional de demografía y salud ENDSA 2008. Demographic and Health Surveys. La Paz, Bolivia: MSD, PRS, INE y Macro International, 2009 (and additional analysis).",1188.482
77,BOL,BOLIVIA (PLURINATIONAL STATE OF),2012,Lower middle income,10887.0,0.5,1.6,,18.1,3.6,(pending reanalysis),"Ministerio de Salud, Unidad de Análisis de Políticas Sociales y Económicas (UDAPE).",Encuesta de Evaluación de Salud y Nutrición 2012: Informe de Resultados,1189.173
78,BIH,BOSNIA AND HERZEGOVINA,2000,Upper middle income,2598.0,3.5,7.4,16.3,12.1,4.2,,,"Household survey of women and children: Bosnia and Herzegovina 2000 (B&H MICS 2000): Draft final report, May 29, 2002. Sarajevo, Bosnia and Herzegovina: UNICEF, 2002 (and additional analysis).",217.772
79,BIH,BOSNIA AND HERZEGOVINA,2006,Upper middle income,3165.0,1.5,4.0,25.6,11.8,1.6,,"Jokic I, Lolic A, Fahrudin M, Niksic D, Pilav A, Prodanovic N et al.","Bosnia and Herzegovina multiple indicator cluster survey 2006. Sarajevo, Bosnia and Herzegovina: UNICEF, 2007 (and additional analysis).",151.418
80,BIH,BOSNIA AND HERZEGOVINA,2012,Upper middle income,2201.0,1.6,2.3,17.4,8.9,1.5,,"Agency for Statistics [Bosnia and Herzegovina], the Federal Ministry of Health, the Ministry of Health and Social Welfare [Republic of Srpska], and","Institute for Public Health [Federation of Bosnia and Herzegovina]. Bosnia and Herzegovina multiple indicator cluster survey (MICS) 2011-2012. Final report. Sarajevo, Federation of Bosnia and Herzegovina: UNICEF, 2013 (and additional analysis).",189.273
81,BWA,BOTSWANA,1996,Upper middle income,,,13.2,,35.1,15.1,Converted estimates,,"The 1996 Botswana family health survey III. Gaborone: Central Statistics Office, 1999 (and additional analysis).",222.586
82,BWA,BOTSWANA,2000,Upper middle income,2880.0,2.7,6.0,10.4,29.1,10.7,,Charumbira,"Multiple indicator survey (MIS) 2000. Full report. Gaborone, Botswana, 2001 (and additional analysis).",222.569
83,BWA,BOTSWANA,2007,Upper middle income,2623.0,3.2,7.2,11.2,31.4,11.2,,Central Statistics Office (CSO) and UNICEF.,"2007 Botswana family health survey IV report. Gaborone, Botswana: CSO, 2009 (and additional analysis by UNICEF).",225.093
84,BRA,BRAZIL,1989,Upper middle income,7276.0,,,,19.4,5.3,,"Monteiro CA, Benicio MH, Gouveia NC.","Growth and nutritional status of the Brazilian children: findings from the 1989 National Health and Nutrition Survey. Country Studies on Nutritional Anthropometry NUT/ANTREF/1/91. Geneva: World Health Organization, 1991 (and additional analysis).",18086.848
85,BRA,BRAZIL,1996,Upper middle income,4145.0,1.0,2.8,6.6,13.5,4.5,,Sociedade Civil Bem-Estar Familiar no Brasil (BEMFAM) e MACRO International Inc.,"Pesquisa nacional sobre demografia e saude 1996. Demographic and Health Surveys. Rio de Janeiro, Brasil: Litografia Tucano Ltda., 1997 (and additional analysis).",16940.017
86,BRA,BRAZIL,2002,Upper middle income,17107.0,,,,,3.7,,"Laboratório de Avaliaçao Nutricional de Populaçoes, Universidade de Sao Paulo (LANPOP-USP).","Pesquisa de orçamentos familiares (POF - 2002-03). Rio de Janeiro, Brazil, 2007 (http://www.ibge.gov.br/home/estatistica/populacao/condicaodevida/pof/2003medidas/default.shtm).",18022.108
87,BRA,BRAZIL,2007,Upper middle income,4415.0,0.4,1.6,7.3,7.1,2.2,,Centro Brasileiro de Análise e Planejamento [CEBRAP].,"Pesquisa nacional de demografia e saúde da criança e da mulher - PNDS 2006. Relatório da pesquisa. Sao Paulo: CEBRAP, 2008 (http://bvsms.saude.gov.br/bvs/pnds/index.php and additional analysis).",16751.059
